user_id,first_name,last_name,Phone,load_date
86477998-e4f9-4573-aab8-bd48fa087961,Aura Vanesa,RESTREPO,126701024,2022-10-20 23:42:06.115168 UTC
ccc86c63-80e4-4074-a587-0b41f252535d,rosanna,RESTREPO,325313440,2022-10-26 13:46:13.990553 UTC
7ef05b87-6b04-424b-bd8b-cc6fd5c5afa4,Camilo,LESMES,263675104,2022-10-24 21:21:03.51215 UTC
1c7fe17c-8883-43a4-bed3-e84191a3b9fa,Daniela,MAZA,82184448,2022-10-12 16:22:43.408652 UTC
82981ad8-227d-48f9-954b-3fcf0c848323,Maria,CAMACHO,130125376,2022-10-18 13:54:53.132155 UTC
fbbd50be-291f-464d-95d8-20142caa8463,NASLY PAOLA,LESMES,181490656,2022-10-12 05:34:57.424307 UTC
91c9d3a0-c48d-4d3b-9f18-7f0603ebb94d,Deicy Melissa,RESTREPO,44516576,2022-10-18 14:53:40.3062 UTC
edd2d804-2968-44e8-a3fc-c6bc5f591ca8,German David,MAZA,99306208,2022-10-11 16:46:38.220105 UTC
af5b544a-d0eb-4445-9256-2c3c423f81a1,Carlos Francisco,RESTREPO,291069920,2022-10-03 22:49:51.154943 UTC
221a8927-5a1e-4cb3-af18-35d29e990d2d,Isabella,MAZA,287645568,2022-09-29 15:45:01.356376 UTC
0dc12320-8502-47ee-87b2-b01b750f3909,Danna Katherine,MAZA,308191680,2022-10-26 12:40:38.908903 UTC
f3e0aba0-747d-4465-a52d-6f633389a17e,Solmara Carolina,RESTREPO,267099456,2022-10-05 21:04:34.428965 UTC
493de60e-ef3b-4e0d-b5f6-cda23b27f005,Omar uriel,CAMACHO,308191680,2022-10-22 03:57:51.355228 UTC
b626a4c5-2abd-4848-bad3-bc883ac3059f,Orlando,MAZA,270523808,2022-10-18 11:33:08.581816 UTC
3e2603af-a205-474d-ae62-be706790bc24,Aline Daniela,MAZA,143822784,2022-10-12 22:16:55.238876 UTC
e59d60f0-f1d7-42fa-b4b7-9a02c525915f,Angela Maria,CAMACHO,263675104,2022-10-01 15:46:29.660876 UTC
dedc1a77-5564-4f15-9ad3-01e867362bec,Marisol,LESMES,335586496,2022-10-13 00:10:43.779517 UTC
2a5ddc90-294d-46da-80e0-f3cbf954cf6d,Susana,MAZA,95881856,2022-10-25 00:29:23.011036 UTC
b9007d12-9b68-4670-a095-2830b743d587,Sergio,RESTREPO,273948160,2022-10-13 14:53:47.51644 UTC
bcf1f13e-7f32-419b-8caf-dc7b28824087,jacqueline,LESMES,109579264,2022-10-10 18:34:19.910162 UTC
4eb6cfee-572d-44b1-94c9-848e40921cb2,sharom del mar,MAZA,219158528,2022-10-21 03:48:39.333265 UTC
ec785481-9d00-4598-892f-d73caef270f3,Carmen,CAMACHO,130125376,2022-10-01 03:14:14.221141 UTC
043ecb3f-93d2-4d77-bf9a-6b6c7b938a11,Angie Natalia,MAZA,30819168,2022-10-21 02:28:20.744099 UTC
816e863d-5999-433f-b440-2e54ee8270ea,Laura,MAZA,51365280,2022-10-15 00:36:32.175774 UTC
2c7ddbd3-eed6-49e5-a346-9d71a6b7451d,Jose Luis,LESMES,284221216,2022-10-18 12:57:13.403316 UTC
bff3a7b2-d91a-4f9e-ad97-989eca71caa7,Israel,MAZA,164368896,2022-10-18 00:25:03.388984 UTC
2ff4cbe9-6feb-4cb5-b66c-9b9f42b37d26,Jimena carolina,CAMACHO,270523808,2022-10-24 01:13:25.955503 UTC
5d646a8b-941d-44e7-a157-b5ce57cda422,Jesus David,CAMACHO,277372512,2022-10-17 18:36:54.320014 UTC
205ae47f-fbb0-4e3b-8c1a-a13a12e1eb83,Mayra Judith,CAMACHO,157520192,2022-10-13 02:37:42.630464 UTC
86380561-bf68-4b32-b5fb-bf38e7807df0,Alberth,MAZA,95881856,2022-10-19 17:43:16.972182 UTC
86ee0f5b-0bd0-4543-80c3-cae8e769a4ac,Adrian alfredo,RESTREPO,188339360,2022-10-04 00:10:38.481558 UTC
3c93eab6-733a-4689-b1db-d5531896ddd3,daniel fernando,LESMES,143822784,2022-10-20 13:54:36.994295 UTC
5e0f9045-0921-4e44-b3ac-b3bc3602c188,Jennifer Denisse,CAMACHO,123276672,2022-09-28 01:51:35.300724 UTC
db3b42a0-a987-41c5-908f-c981dd0fd0dc,efren isai,MAZA,335586496,2022-10-05 03:06:16.793955 UTC
fab099c2-1db2-4643-8a48-dacb135abb45,Juan,RESTREPO,188339360,2022-09-30 04:40:18.109744 UTC
aca75d29-0570-414f-965a-0df45f7630ef,Edwin,CAMACHO,277372512,2022-10-18 13:31:08.713771 UTC
97b7090d-5e34-4b49-b458-ca988b0fada6,Jose heimer,CAMACHO,85608800,2022-09-28 12:25:41.429094 UTC
6dea2e2a-db2f-4adb-b72c-984eb06c0a8f,Miguel Ángel,LESMES,253402048,2022-10-09 18:18:24.357164 UTC
57ce5aa5-b6fd-446d-b491-9dee148d6aa2,Tanya Elena,CAMACHO,99306208,2022-10-13 03:21:08.144319 UTC
ac2e13b8-8696-473d-84c1-cc31d8a6af77,Juliana,RESTREPO,68487040,2022-10-11 14:33:29.703218 UTC
bcc5e256-0d6d-4254-b719-fd6a30c100e1,Diana Maritza,LESMES,10273056,2022-10-17 04:17:24.861093 UTC
a9b7162d-f4a1-4871-986f-d8d269c152cb,Jessica Karina,MAZA,123276672,2022-09-27 16:13:04.072684 UTC
aeb92ef4-8e0d-4623-acc4-bf3be45644ba,Lady Johanna,CAMACHO,78760096,2022-10-01 18:41:33.060093 UTC
f5ed1b97-663c-48bb-9e22-eacb28461d13,Isaias,CAMACHO,68487040,2022-10-13 15:30:55.825762 UTC
e6053644-da59-489c-be3e-aed11dc9e0a5,Lorena,CAMACHO,136974080,2022-10-18 03:51:07.375871 UTC
3b5906aa-0267-446b-bb94-637a24531d0e,said,CAMACHO,17121760,2022-09-29 05:02:29.156842 UTC
0a4af635-ab96-4ad1-ba20-c50c0bc2e67d,Elizabeth,MAZA,133549728,2022-10-06 22:37:15.208699 UTC
b1839d2c-01f0-4f4d-abd1-3f8b172f3737,Alejandro,RESTREPO,27394816,2022-10-22 19:10:06.128813 UTC
e6c1c0a0-9020-46d8-a659-3c400806dee4,Ana,CAMACHO,304767328,2022-10-19 14:44:55.379212 UTC
a55fb4ad-bd87-4198-bdce-9f56ea979c49,Wbeymar,CAMACHO,160944544,2022-10-21 00:06:48.318283 UTC
6b51b5ad-87bc-400c-8e81-d96c99d05c2d,Mauris Milena,LESMES,30819168,2022-10-09 22:13:53.247324 UTC
1115caeb-a221-40b2-8a2d-9f47b09445d0,Zuad yaina,CAMACHO,208885472,2022-10-12 18:47:02.929091 UTC
8454177b-6ac8-44fc-a9f9-ad2d429ba3fa,Renata,CAMACHO,181490656,2022-09-29 19:00:27.52302 UTC
d4c2c774-2608-487b-a1f5-0c431adb165b,Christian,LESMES,71911392,2022-09-27 20:09:54.6624 UTC
20b73e36-f529-4fc8-b096-cb365651412a,Herney Alxander,RESTREPO,304767328,2022-10-01 01:48:54.285697 UTC
da2d9386-be4b-4f45-b149-81314a3b5f6c,Veronica de Jesús,CAMACHO,284221216,2022-09-29 14:05:22.058346 UTC
87268fbd-f320-4856-b957-9dedd174308f,Laura,CAMACHO,140398432,2022-10-24 20:22:04.359378 UTC
6c887740-6b5d-409f-87aa-c2ec2984df4b,Marlon Enrique,MAZA,6848704,2022-10-19 12:52:27.136719 UTC
0eb99e4a-bd77-47f8-bde0-4f39f1009cec,Viviana Arleyi,CAMACHO,47940928,2022-09-30 00:41:19.395473 UTC
be77a248-a61e-4f1a-961f-8651084b1d93,Julieth,CAMACHO,75335744,2022-10-15 20:15:22.682887 UTC
f9571b4e-d816-47b7-a1b1-f3699235f4bd,Paula Melisa,RESTREPO,89033152,2022-09-30 20:05:54.037864 UTC
cf35b59b-e01e-4355-a369-27874d7441f6,pilar,CAMACHO,226007232,2022-10-25 18:03:48.050547 UTC
ceb52272-8661-4aff-92c4-25a1cd67f72c,Catherine,LESMES,23970464,2022-09-28 18:13:11.687592 UTC
a4ad4459-dcc6-48de-9e7a-420cf9b06af0,Alejandra,LESMES,232855936,2022-10-08 14:57:09.417998 UTC
72097189-8b1a-473b-b349-1a890d7ac44d,SERGIO,LESMES,123276672,2022-10-24 17:15:25.553488 UTC
1d41a0ea-8443-48a7-b443-3b063ec672db,María del Carmen,CAMACHO,150671488,2022-09-29 20:28:39.131696 UTC
6f19e72e-6da7-452e-93f6-910fc27e87c3,daniela,CAMACHO,164368896,2022-10-11 00:42:47.729292 UTC
6904f20f-6624-400d-94e5-5b1aac4533dc,Jessica,CAMACHO,208885472,2022-10-20 21:03:21.057263 UTC
277612fa-4baa-4b86-baee-f1d90339f4c5,Luis José,LESMES,3424352,2022-10-13 23:11:03.814869 UTC
6886aaa2-d894-49ca-9747-1ef44b856b7f,Gustavo,CAMACHO,270523808,2022-10-19 16:37:26.381713 UTC
d4cfde08-d895-4cc5-b288-6c945b43ab3e,José Daniel,CAMACHO,85608800,2022-10-26 15:17:59.970284 UTC
d2d2e462-bc7f-4ae2-a51c-6076ae331a6c,María Luisa,LESMES,20546112,2022-10-03 16:34:07.300917 UTC
cafb4f95-ce25-48ed-a179-6cbda7908677,Mariana Jaina,MAZA,236280288,2021-12-27 19:50:39.315 UTC
6aa66190-5621-4a1d-9f20-10af9fb2781d,Thalya,LESMES,71911392,2021-09-28 20:27:51.509 UTC
731de4f9-5b04-4620-8efd-5211d58a56bc,Katherin,MAZA,178066304,2022-10-27 19:57:36.078436 UTC
eb583345-0ef1-4bff-9878-924a712e889e,Diana Paola,CAMACHO,273948160,2022-10-15 00:30:12.22723 UTC
288a120b-bb90-4afe-84ba-6d46bbea4771,Sandra,LESMES,78760096,2022-10-26 20:42:27.657855 UTC
dc1ef2f5-b117-4e5f-9ea7-514788147e11,yuliet,RESTREPO,17121760,2022-10-10 18:31:07.348799 UTC
dc6babf8-eb38-4e16-882b-c15b54665751,Manuela,MAZA,133549728,2022-10-24 14:05:36.310504 UTC
acb91d58-e98c-4d4a-b20a-173ddb29b61f,María Alejandra,MAZA,160944544,2022-10-26 19:52:01.892399 UTC
3912b165-0549-409d-a5ff-0124de127394,Daniel,CAMACHO,20546112,2022-10-10 16:51:52.273552 UTC
6a47e688-58d3-405b-8b5c-c1d7894c0625,Jorge Andres,LESMES,106154912,2022-10-16 13:45:05.166952 UTC
eb8c56d4-388f-4206-94b2-b7e03f449353,TATIANA,RESTREPO,68487040,2022-10-06 18:54:10.741177 UTC
6de617e5-db9c-48b2-acb6-9cc06cf43b66,Nicolas,MAZA,253402048,2022-10-10 01:35:05.374399 UTC
7acd5c77-5d3d-410a-a14f-acc7d6931838,Jesus de la cruz,CAMACHO,239704640,2022-10-09 16:31:52.609455 UTC
